-0.000299534 206 3700 4900 24 16
-0.000467319 206 5700 8100 24 16
-0.000178021 208 1 1200 24 16
-0.000112013 208 1700 2700 24 16
-7.65512E-05 208 2900 3900 24 16
-9.24047E-05 208 4000 4900 24 16
-9.94065E-05 208 5400 6900 24 16
-0.000122626 208 7500 8700 24 16
-0.000140703 210 800 2900 24 16
-0.000113741 210 8400 9800 24 16
-7.16629E-05 211 600 1800 24 16
-9.32782E-05 211 2500 4000 24 16
-9.7529E-05 211 5900 8900 24 16
-9.4239E-05 216 7800 8800 24 16
-0.000234973 217 4000 4900 24 16
-7.27978E-05 218 1800 3000 24 16
-0.000186099 219 7250 8100 24 16
-0.000122464 220 3000 4800 24 16
-6.68288E-05 221 1 2000 24 16
-8.58384E-05 221 2500 3500 24 16
-8.58384E-05 221 2500 3500 24 16
-5.1265E-05 221 3600 4500 24 16
-0.000342865 224 4100 4700 24 16
-0.000149591 224 6100 7000 24 16
-8.64232E-05 224 7000 9000 24 16
-9.86702E-05 224 7200 9000 24 16
-0.000160084 226 1300 3600 24 16
-7.29622E-05 227 3200 4900 24 16
-2.83799E-05 227 5000 6000 24 16
-6.60287E-05 227 5200 5900 24 16
-6.46089E-05 227 6000 8200 24 16
-0.000176098 229 3900 5000 24 16
-9.4182E-05 229 900 1900 24 16
-0.000108405 229 9000 9900 24 16
-0.000323257 232 8000 9000 24 16
-7.25514E-05 233 600 2000 24 16
-7.7765E-05 233 2800 3500 24 16
-0.000203566 234 450 1100 24 16
-0.000174845 234 2900 4900 24 16
-0.000114206 235 2900 3700 24 16
-0.00019678 235 8900 10000 24 16
-0.000100835 236 8500 9600 24 16
-0.000892592 237 500 1300 24 16
-0.000177116 238 4800 5700 24 16
-0.00056463 240 2500 4000 24 16
-8.88054E-05 241 1 800 24 16
-0.000141968 241 6900 8500 24 16
-0.000344432 242 8800 9350 24 16
-0.000746263 243 5200 6500 24 16
-8.8514E-05 244 2000 2900 24 16
-0.000110148 244 3000 4000 24 16
-0.000172354 244 8600 10000 24 16
-0.000286014 246 200 1650 24 16
-0.000102422 247 6000 7100 24 16
-0.000140135 248 1 2400 24 16
-0.00012051 248 2600 4100 24 16
-0.000150722 249 1800 3700 24 16
-0.000124776 250 7500 9000 24 16
-9.03501E-05 253 1500 3000 24 16
-0.000171815 260 7500 9000 24 16
-0.000163159 262 1100 2600 24 16
-0.000117299 266 4200 8500 24 16
-0.000342681 269 8400 9400 24 16
0 270 7900 8800 24 16
-7.67316E-05 270 7900 8800 24 16
-0.00014572 271 8300 9700 24 16
-0.000214746 272 600 2400 24 16
-0.000142641 274 4250 5000 24 16
-9.12336E-05 274 5550 8500 24 16
-0.000244858 276 3300 4900 24 16
-0.000110775 276 5700 7500 24 16
-0.000171967 277 6900 9300 24 16
-0.000462449 279 6600 7700 24 16
-0.00010017 280 400 1700 24 16
-0.000119918 280 3000 4900 24 16
-0.000140651 280 7700 8700 24 16
